"";"original_glcm_SumEntropy";"original_glcm_Idn";"original_glcm_JointEntropy";"original_glcm_DifferenceEntropy";"original_glcm_DifferenceVariance";"original_glcm_DifferenceAverage";"original_glszm_SmallAreaEmphasis";"original_glcm_Idmn";"original_glrlm_GrayLevelNonUniformityNormalized";"original_glrlm_LongRunEmphasis";"original_gldm_SmallDependenceEmphasis";"original_gldm_LargeDependenceEmphasis";"original_glrlm_RunPercentage";"original_glrlm_ShortRunEmphasis";"original_glszm_LargeAreaEmphasis";"original_glcm_Imc1";"original_glcm_Autocorrelation"
"19";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"20";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"21";"(0.599,1]";"(0.621,1]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"(0.781,1]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"22";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"23";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"24";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"[0,0.0829]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"25";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"(0.789,1]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"26";"[0,0.599]";"(0.621,1]";"[0,0.558]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"27";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"28";"(0.599,1]";"[0,0.621]";"(0.558,1]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"29";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"(0.781,1]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"30";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"31";"[0,0.599]";"[0,0.621]";"[0,0.558]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"32";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"33";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"34";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"35";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"36";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"37";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"38";"[0,0.599]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"(0.147,1]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"[0,0.282]"
"39";"(0.599,1]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"40";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"41";"(0.599,1]";"(0.621,1]";"(0.558,1]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"[0,0.147]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"42";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"43";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"44";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"45";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"(0.108,1]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"46";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"[0,0.247]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"47";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"48";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"49";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"[0,0.0829]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"50";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"51";"(0.599,1]";"[0,0.621]";"(0.558,1]";"[0,0.534]";"[0,0.0829]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"52";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"53";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"54";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"55";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"56";"(0.599,1]";"[0,0.621]";"(0.558,1]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"57";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"58";"(0.599,1]";"[0,0.621]";"[0,0.558]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"59";"(0.599,1]";"[0,0.621]";"[0,0.558]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"(0.0692,1]";"(0.408,1]";"(0.108,1]";"[0,0.789]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"60";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"61";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"62";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"63";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"64";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"65";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"(0.282,1]"
"66";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"[0,0.282]"
"67";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"(0.0829,1]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"68";"[0,0.599]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"69";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"70";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"71";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"72";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"73";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
"74";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"[0,0.674]";"(0.781,1]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"[0,0.723]";"(0.282,1]"
"75";"[0,0.599]";"(0.621,1]";"[0,0.558]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"76";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"[0,0.0829]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"77";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"78";"[0,0.599]";"[0,0.621]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"79";"(0.599,1]";"[0,0.621]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"[0,0.674]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"[0,0.723]";"[0,0.282]"
"80";"[0,0.599]";"[0,0.621]";"[0,0.558]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"81";"(0.599,1]";"(0.621,1]";"(0.558,1]";"(0.534,1]";"(0.0829,1]";"(0.247,1]";"(0.674,1]";"[0,0.781]";"[0,0.147]";"[0,0.0692]";"(0.408,1]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"[0,0.00112]";"(0.723,1]";"(0.282,1]"
"82";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"(0.781,1]";"(0.147,1]";"[0,0.0692]";"[0,0.408]";"[0,0.108]";"(0.789,1]";"(0.792,1]";"(0.00112,1]";"(0.723,1]";"(0.282,1]"
"83";"[0,0.599]";"(0.621,1]";"[0,0.558]";"[0,0.534]";"[0,0.0829]";"[0,0.247]";"(0.674,1]";"[0,0.781]";"(0.147,1]";"(0.0692,1]";"[0,0.408]";"(0.108,1]";"[0,0.789]";"[0,0.792]";"(0.00112,1]";"(0.723,1]";"[0,0.282]"
